dimension_type,dimension_code_or_name,dimension_label,official_mechanism_code,official_mechanism_label,source_row_count,distinct_partner_display_alias_count,source_row_numbers,fact_layer,human_gate,interpretation_limit
official_issue_field,7,環境の保全を図る事業,6,後援,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,7,環境の保全を図る事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,7,環境の保全を図る事業,8,事業協力,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,7,環境の保全を図る事業,9,講師等,1,1,346,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,7,環境の保全を図る事業,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,1,委託,4,4,71;72;219;461,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,2,提案型公募による委託,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,3,指定管理者制度による委任,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,4,補助,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,5,共催,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,6,後援,1,1,541,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,7,実行委員会等,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,8,事業協力,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,9,講師等,7,7,2;3;4;5;6;7;8,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
official_issue_field,8,災害救援事業,10,その他,0,0,,S002_616_row_source_universe_mechanical_aggregation,none_ready_now,"Counts are source records, not organizations, contracts, awards, or payments."
