issue_id_1,issue_label_1,issue_id_2,issue_label_2,shared_actor_count_all,shared_actor_ids_all,shared_actor_count_human_reviewed,shared_actor_ids_human_reviewed,shared_actor_count_positioning,shared_actor_ids_positioning,shared_actor_count_event_only,shared_actor_ids_event_only,interpretation_limit
I004,dugong,I005,biodiversity,5,A003;A005;A020;A069;A086,1,A086,1,A069,2,A003;A005,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I012,international_advocacy,4,A007;A028;A064;A070,0,,2,A064;A070,1,A028,shared actor issue profile; not an organization-to-organization alliance
I002,anti_military,I007,life_safety,4,A012;A013;A049;A114,0,,3,A013;A049;A114,1,A012,shared actor issue profile; not an organization-to-organization alliance
I002,anti_military,I009,local_autonomy,4,A010;A011;A014;A015,0,,1,A010,2,A014;A015,shared actor issue profile; not an organization-to-organization alliance
I003,Henoko,I005,biodiversity,4,A004;A029;A067;A069,0,,2,A067;A069,2,A004;A029,shared actor issue profile; not an organization-to-organization alliance
I004,dugong,I011,legal,4,A009;A020;A076;A086,2,A076;A086,0,,0,,shared actor issue profile; not an organization-to-organization alliance
I004,dugong,I012,international_advocacy,4,A001;A002;A009;A086,2,A002;A086,0,,0,,shared actor issue profile; not an organization-to-organization alliance
I005,biodiversity,I011,legal,4,A020;A045;A055;A086,1,A086,0,,0,,shared actor issue profile; not an organization-to-organization alliance
I006,groundwater,I007,life_safety,4,A012;A013;A112;A113,0,,2,A013;A112,2,A012;A113,shared actor issue profile; not an organization-to-organization alliance
I011,legal,I012,international_advocacy,4,A009;A039;A045;A086,1,A086,0,,1,A039,shared actor issue profile; not an organization-to-organization alliance
I017,frontline_prevention,I018,Taiwan_contingency,4,A017;A018;A065;A108,1,A108,4,A017;A018;A065;A108,0,,shared actor issue profile; not an organization-to-organization alliance
I019,peace,I022,women,4,A105;A107;A111;A115,3,A105;A107;A111,2,A105;A107,0,,shared actor issue profile; not an organization-to-organization alliance
I019,peace,I023,human_rights,4,A105;A107;A111;A115,3,A105;A107;A111,3,A105;A107;A111,1,A115,shared actor issue profile; not an organization-to-organization alliance
I022,women,I023,human_rights,4,A105;A107;A111;A115,3,A105;A107;A111,2,A105;A107,0,,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I002,anti_military,3,A047;A049;A114,0,,3,A047;A049;A114,0,,shared actor issue profile; not an organization-to-organization alliance
I001,anti_base,I009,local_autonomy,3,A050;A059;A066,0,,2,A059;A066,1,A050,shared actor issue profile; not an organization-to-organization alliance
